OscarYear;CategoryId;CategoryName;W;Nominee;FromTheMovie
2016;1;Best Actor in a Leading Role;w;Leonardo DiCaprio;The Revenant as Hugh Glass  
2016;1;Best Actor in a Leading Role;;Bryan Cranston;Trumbo as Dalton Trumbo
2016;1;Best Actor in a Leading Role;;Matt Damon;The Martian as Mark Watney
2016;1;Best Actor in a Leading Role;;Michael Fassbender;Steve Jobs as Steve Jobs
2016;1;Best Actor in a Leading Role;;Eddie Redmayne;The Danish Girl as Lili Elbe
2016;2;Best Actor in a Supporting Role;w;Mark Rylance;Bridge of Spies as Rudolf Abel  
2016;2;Best Actor in a Supporting Role;;Christian Bale;The Big Short as Michael Burry
2016;2;Best Actor in a Supporting Role;;Tom Hardy;The Revenant as John Fitzgerald
2016;2;Best Actor in a Supporting Role;;Mark Ruffalo;Spotlight as Michael Rezendes
2016;2;Best Actor in a Supporting Role;;Sylvester Stallone;Creed as Rocky Balboa
2016;3;Best Actress in a Leading Role;w;Brie Larson;"Room as Joy ""Ma"" Newsome  "
2016;3;Best Actress in a Leading Role;;Cate Blanchett;Carol as Carol Aird
2016;3;Best Actress in a Leading Role;;Jennifer Lawrence;Joy as Joy Mangano
2016;3;Best Actress in a Leading Role;;Charlotte Rampling;45 Years as Kate Mercer
2016;3;Best Actress in a Leading Role;;Saoirse Ronan;Brooklyn as Eilis Lacey
2016;4;Best Supporting Actress;w;Alicia Vikander;The Danish Girl as Gerda Wegener  
2016;4;Best Supporting Actress;;Jennifer Jason Leigh;The Hateful Eight as Daisy Domergue
2016;4;Best Supporting Actress;;Rooney Mara;Carol as Therese Belivet
2016;4;Best Actress in a Supporting Role;;Rachel McAdams;Spotlight as Sacha Pfeiffer
2016;4;Best Actress in a Supporting Role;;Kate Winslet;Steve Jobs as Joanna Hoffman
2016;5;Best Animated Feature Film;w;Inside Out;Pete Docter and Jonas Rivera  
2016;5;Best Animated Feature Film;;Anomalisa;Charlie Kaufman, Duke Johnson, and Rosa Tran
2016;5;Best Animated Feature Film;;Boy & the World;Alê Abreu
2016;5;Best Animated Feature Film;;Shaun the Sheep Movie;Mark Burton and Richard Starzak
2016;5;Best Animated Feature Film;;When Marnie Was There;Hiromasa Yonebayashi and Yoshiaki Nishimura
2016;6;Best Animated Short Film;w;Bear Story;Pato Escala Pierart and Gabriel Osorio Vargas  
2016;6;Best Animated Short Film;;Prologue;Imogen Sutton and Richard Williams
2016;6;Best Animated Short Film;;Sanjay's Super Team;Nicole Paradis Grindle and Sanjay Patel
2016;6;Best Animated Short Film;;We Can't Live Without Cosmos;Konstantin Bronzit
2016;6;Best Animated Short Film;;World of Tomorrow;Don Hertzfeldt
2016;7;Best Cinematography;w;The Revenant;Emmanuel Lubezki  
2016;7;Best Cinematography;;Carol;Ed Lachman
2016;7;Best Cinematography;;The Hateful Eight;Robert Richardson
2016;7;Best Cinematography;;Mad Max: Fury Road;John Seale
2016;7;Best Cinematography;;Sicario;Roger Deakins
2016;8;Best Costume Design;w;Mad Max: Fury Road;Jenny Beavan  
2016;8;Best Costume Design;;Carol;Sandy Powell
2016;8;Best Costume Design;;Cinderella;Sandy Powell
2016;8;Best Costume Design;;The Danish Girl;Paco Delgado
2016;8;Best Costume Design;;The Revenant;Jacqueline West
2016;9;Best Director;w;Alejandro G. Iñárritu;The Revenant  
2016;9;Best Director;;Adam McKay;The Big Short
2016;9;Best Director;;George Miller;Mad Max: Fury Road
2016;9;Best Director;;Lenny Abrahamson;Room
2016;9;Best Director;;Tom McCarthy;Spotlight
2016;10;Best Documentary Feature;w;Amy;Asif Kapadia and James Gay-Rees  
2016;10;Best Documentary Feature;;Cartel Land;Matthew Heineman and Tom Yellin
2016;10;Best Documentary Feature;;The Look of Silence;Joshua Oppenheimer and Signe Byrge Sørensen
2016;10;Best Documentary Feature;;What Happened, Miss Simone?;Liz Garbus, Amy Hobby, and Justin Wilkes
2016;10;Best Documentary Feature;;Winter on Fire: Ukraine's Fight for Freedom;Evgeny Afineevsky and Den Tolmor
2016;11;Best Documentary Short Subject;w;A Girl in the River: The Price of Forgiveness;Sharmeen Obaid-Chinoy  
2016;11;Best Documentary Short Subject;;Body Team 12;David Darg and Bryn Mooser
2016;11;Best Documentary Short Subject;;Chau, Beyond the Lines;Courtney Marsh and Jerry Franck
2016;11;Best Documentary Short Subject;;Claude Lanzmann: Spectres of the Shoah;Adam Benzine
2016;11;Best Documentary Short Subject;;Last Day of Freedom;Dee Hibbert-Jones and Nomi Talisman
2016;12;Best Film Editing;w;Mad Max: Fury Road ;Margaret Sixel
2016;12;Best Film Editing;;The Big Short ;Hank Corwin
2016;12;Best Film Editing;;The Revenant ;Stephen Mirrione
2016;12;Best Film Editing;;Spotlight;Tom McArdle
